"Phytophthora","Host","Level.1","Total","PxH.in.Scotland"
"P. cinnamomi","Sciadopitys","Northern America",1,NA
"P. cinnamomi","Senna","Australasia",1,NA
"P. cinnamomi","Sequoia","Australasia",2,NA
"P. cinnamomi","Sequoia","Europe",2,NA
"P. cinnamomi","Sequoiadendron","Australasia",2,"Yes"
"P. cinnamomi","Serruria","Africa",6,NA
"P. cinnamomi","Serruria","Australasia",12,NA
"P. cinnamomi","Siloxerus","Australasia",2,NA
"P. cinnamomi","Solanum","Northern America",2,NA
"P. cinnamomi","Solanum","Pacific",1,NA
"P. cinnamomi","Solanum","Southern America",2,NA
"P. cinnamomi","Sophora","Northern America",1,NA
"P. cinnamomi","Sophora","Pacific",1,NA
"P. cinnamomi","Sorbus","Asia-Temperate",2,NA
"P. cinnamomi","Spathiphyllum","Australasia",2,NA
"P. cinnamomi","Sphenotoma","Australasia",2,NA
"P. cinnamomi","Sprengelia","Australasia",4,NA
"P. cinnamomi","Stenanthera","Australasia",1,NA
"P. cinnamomi","Stirlingia","Australasia",1,NA
"P. cinnamomi","Stylidium","Australasia",9,NA
"P. cinnamomi","Styphelia","Australasia",4,NA
"P. cinnamomi","Symphytum","Australasia",2,NA
"P. cinnamomi","Syncarpia","Australasia",1,NA
"P. cinnamomi","Syzygium","Asia-Tropical",2,NA
"P. cinnamomi","Syzygium","Australasia",6,NA
"P. cinnamomi","Tabebuia","Australasia",1,NA
"P. cinnamomi","Tabebuia","Europe",2,NA
"P. cinnamomi","Tanacetum","0",2,NA
"P. cinnamomi","Tasmannia","Australasia",4,"Yes"
"P. cinnamomi","Taxus","Australasia",5,"Yes"
"P. cinnamomi","Taxus","Europe",10,"Yes"
"P. cinnamomi","Taxus","Northern America",19,"Yes"
"P. cinnamomi","Tecomaria","Australasia",2,NA
"P. cinnamomi","Telopea","Africa",4,NA
"P. cinnamomi","Telopea","Australasia",11,NA
"P. cinnamomi","Tetratheca","Australasia",8,NA
"P. cinnamomi","Thomasia","Australasia",4,NA
"P. cinnamomi","Thryptomene","Australasia",12,NA
"P. cinnamomi","Thuja","Africa",1,NA
"P. cinnamomi","Thuja","Europe",3,NA
"P. cinnamomi","Thuja","Northern America",6,NA
"P. cinnamomi","Thuja","Pacific",2,NA
"P. cinnamomi","Thuja","Southern America",2,NA
"P. cinnamomi","Toona","Pacific",1,NA
"P. cinnamomi","Torreya","Asia-Temperate",2,NA
"P. cinnamomi","Trachymene","Australasia",2,NA
"P. cinnamomi","Trifolium","Australasia",1,NA
"P. cinnamomi","Trymalium","Australasia",2,NA
"P. cinnamomi","Tsuga","Australasia",1,"Yes"
"P. cinnamomi","Tsuga","Northern America",2,"Yes"
"P. cinnamomi","Ugni","Australasia",1,NA
"P. cinnamomi","Ulex","Australasia",1,NA
"P. cinnamomi","Umbellularia","Northern America",2,NA
"P. cinnamomi","Urostemon","Australasia",4,NA
"P. cinnamomi","Vaccinium","Asia-Temperate",4,"Yes"
"P. cinnamomi","Vaccinium","Australasia",30,"Yes"
"P. cinnamomi","Vaccinium","Europe",12,"Yes"
"P. cinnamomi","Vaccinium","Northern America",27,"Yes"
"P. cinnamomi","Vaccinium","Southern America",6,"Yes"
"P. cinnamomi","Vernicia","Northern America",4,NA
"P. cinnamomi","Veronica","Australasia",4,NA
"P. cinnamomi","Verticordia","Australasia",12,NA
"P. cinnamomi","Viburnum","Australasia",3,NA
"P. cinnamomi","Viburnum","Europe",2,NA
"P. cinnamomi","Viburnum","Northern America",2,NA
"P. cinnamomi","Vigna","Australasia",6,NA
"P. cinnamomi","Viola","Australasia",1,NA
"P. cinnamomi","Vitex","Australasia",1,NA
"P. cinnamomi","Vitis","Africa",19,NA
"P. cinnamomi","Vitis","Australasia",24,NA
"P. cinnamomi","Vitis","Europe",2,NA
"P. cinnamomi","Washingtonia","Australasia",1,NA
"P. cinnamomi","Widdringtonia","Africa",3,NA
"P. cinnamomi","Wodyetia","Australasia",2,NA
"P. cinnamomi","Wollemia","Australasia",70,NA
"P. cinnamomi","Xanthomyrtus","Northern America",4,NA
"P. cinnamomi","Xanthorrhoea","Australasia",53,NA
"P. cinnamomi","Xeronema","Australasia",5,NA
"P. cinnamomi","Xerophyllum","Northern America",1,NA
"P. cinnamomi","Xylomelum","Australasia",2,NA
"P. cinnamomi","Zamia","Asia-Temperate",1,NA
"P. kernoviae","Agathis","Australasia",1,NA
"P. kernoviae","Annona","Australasia",22,NA
"P. kernoviae","Drimys","Europe",1,NA
"P. kernoviae","Drimys","Southern America",2,NA
"P. kernoviae","Fagus","0",1,"Yes"
"P. kernoviae","Fagus","Australasia",1,"Yes"
"P. kernoviae","Ficus","Australasia",1,NA
"P. kernoviae","Magnolia","0",1,"Yes"
"P. kernoviae","Magnolia","Australasia",1,"Yes"
"P. kernoviae","Pectinopitys","Australasia",1,NA
"P. kernoviae","Pinus","Australasia",47,NA
"P. kernoviae","Rhododendron","0",1,"Yes"
"P. kernoviae","Rhododendron","Australasia",7,"Yes"
"P. kernoviae","Rhododendron","Europe",12,"Yes"
"P. pinifolia","Pinus","Southern America",22,NA
"P. pluvialis","Notholithocarpus","Northern America",3,NA
"P. pluvialis","Pinus","Australasia",205,NA
"P. pluvialis","Pseudotsuga","Australasia",16,"Yes"
"P. pluvialis","Pseudotsuga","Northern America",9,"Yes"
"P. pseudosyringae","Abies","Northern America",2,NA
"P. pseudosyringae","Acer","Europe",2,"Yes"
"P. pseudosyringae","Aesculus","Europe",4,NA
"P. pseudosyringae","Alnus","Europe",9,NA
"P. pseudosyringae","Alnus","Northern America",5,NA
"P. pseudosyringae","Arctostaphylos","Northern America",1,NA
"P. pseudosyringae","Camellia","Northern America",1,NA
"P. pseudosyringae","Castanea","Europe",11,NA
"P. pseudosyringae","Fagus","Europe",28,"Yes"
"P. pseudosyringae","Fraxinus","Europe",7,NA
"P. pseudosyringae","Hedera","Europe",3,NA
"P. pseudosyringae","Ilex","Europe",1,NA
"P. pseudosyringae","Laburnum","Europe",2,NA
"P. pseudosyringae","Laurus","Northern America",1,NA
"P. pseudosyringae","Nothofagus","Southern America",2,"Yes"
"P. pseudosyringae","Notholithocarpus","Northern America",5,NA
"P. pseudosyringae","Pieris","Northern America",1,"Yes"
"P. pseudosyringae","Quercus","Europe",19,"Yes"
"P. pseudosyringae","Quercus","Northern America",10,"Yes"
"P. pseudosyringae","Rhododendron","Europe",1,"Yes"
"P. pseudosyringae","Rhododendron","Northern America",1,"Yes"
"P. pseudosyringae","Salix","Northern America",1,NA
"P. pseudosyringae","Tilia","Europe",2,NA
"P. pseudosyringae","Umbellularia","Northern America",12,NA
"P. ramorum","Abies","0",1,"Yes"
"P. ramorum","Abies","Europe",6,"Yes"
"P. ramorum","Abies","Northern America",5,"Yes"
"P. ramorum","Acer","0",1,NA
"P. ramorum","Acer","Northern America",4,NA
"P. ramorum","Adiantum","Northern America",10,NA
"P. ramorum","Aesculus","Northern America",4,NA
"P. ramorum","Arbutus","Europe",2,NA
"P. ramorum","Arbutus","Northern America",9,NA
"P. ramorum","Arctostaphylos","Northern America",10,NA
"P. ramorum","Berberis","Australasia",1,NA
"P. ramorum","Berberis","Northern America",1,NA
"P. ramorum","Calluna","Europe",2,NA
"P. ramorum","Camellia","Europe",11,NA
"P. ramorum","Camellia","Northern America",16,NA
"P. ramorum","Castanea","Europe",5,NA
"P. ramorum","Choisya","Europe",2,NA
"P. ramorum","Chrysolepis","Northern America",1,NA
"P. ramorum","Cinnamomum","Northern America",2,NA
"P. ramorum","Cornus","Northern America",1,NA
"P. ramorum","Corylus","Northern America",2,NA
"P. ramorum","Cotoneaster","0",1,NA
"P. ramorum","Fagus","0",1,"Yes"
"P. ramorum","Fagus","Europe",8,"Yes"
"P. ramorum","Frangula","Northern America",15,NA
"P. ramorum","Fuchsia","Northern America",1,NA
"P. ramorum","Gaultheria","Australasia",1,NA
"P. ramorum","Gaultheria","Northern America",5,NA
"P. ramorum","Gaylussacia","Northern America",1,NA
"P. ramorum","Grevillea","0",1,NA
"P. ramorum","Hakonechloa","0",1,NA
"P. ramorum","Hamamelis","Northern America",1,NA
"P. ramorum","Kalmia","Europe",1,"Yes"
"P. ramorum","Kalmia","Northern America",1,"Yes"
"P. ramorum","Larix","Asia-Temperate",1,"Yes"
"P. ramorum","Larix","Europe",14,"Yes"
"P. ramorum","Leptospermum","Northern America",1,NA
"P. ramorum","Leucothoe","Europe",2,NA
"P. ramorum","Leucothoe","Northern America",1,NA
"P. ramorum","Lithocarpus","Northern America",2,NA
"P. ramorum","Lonicera","0",1,NA
"P. ramorum","Lonicera","Northern America",4,NA
"P. ramorum","Lophostemon","Northern America",1,NA
"P. ramorum","Loropetalum","Northern America",3,NA
"P. ramorum","Lysimachia","Northern America",7,NA
"P. ramorum","Magnolia","0",1,"Yes"
"P. ramorum","Magnolia","Europe",5,"Yes"
"P. ramorum","Magnolia","Northern America",1,"Yes"
"P. ramorum","Maianthemum","Northern America",3,NA
"P. ramorum","Malus","Europe",1,NA
"P. ramorum","Neopanax","Northern America",1,NA
"P. ramorum","Nothofagus","Northern America",1,"Yes"
"P. ramorum","Notholithocarpus","Northern America",56,NA
"P. ramorum","Osmanthus","0",1,"Yes"
"P. ramorum","Osmanthus","Northern America",4,"Yes"
"P. ramorum","Phoradendron","Northern America",1,NA
"P. ramorum","Photinia","Europe",2,NA
"P. ramorum","Photinia","Northern America",4,NA
"P. ramorum","Picea","Europe",3,"Yes"
"P. ramorum","Pieris","Australasia",1,"Yes"
"P. ramorum","Pieris","Europe",14,"Yes"
"P. ramorum","Pieris","Northern America",20,"Yes"
"P. ramorum","Pinus","Northern America",1,NA
"P. ramorum","Pittosporum","0",1,NA
"P. ramorum","Prunus","Europe",2,NA
"P. ramorum","Prunus","Northern America",3,NA
"P. ramorum","Pseudotsuga","Northern America",6,NA
"P. ramorum","Pyracantha","Northern America",1,NA
"P. ramorum","Quercus","Europe",9,NA
"P. ramorum","Quercus","Northern America",185,NA
"P. ramorum","Rhamnus","Northern America",2,NA
"P. ramorum","Rhododendron","0",2,"Yes"
"P. ramorum","Rhododendron","Asia-Temperate",1,"Yes"
"P. ramorum","Rhododendron","Australasia",1,"Yes"
"P. ramorum","Rhododendron","Europe",236,"Yes"
"P. ramorum","Rhododendron","Northern America",38,"Yes"
"P. ramorum","Rosa","Northern America",7,NA
"P. ramorum","Rubus","Northern America",1,NA
"P. ramorum","Sequoia","Northern America",11,NA
"P. ramorum","Syringa","Northern America",1,NA
"P. ramorum","Taxus","0",1,NA
"P. ramorum","Toxicodendron","Northern America",1,NA
"P. ramorum","Umbellularia","Europe",1,NA
"P. ramorum","Umbellularia","Northern America",213,NA
"P. ramorum","Vaccinium","Europe",6,"Yes"
"P. ramorum","Vaccinium","Northern America",17,"Yes"
"P. ramorum","Viburnum","0",2,"Yes"
"P. ramorum","Viburnum","Australasia",1,"Yes"
"P. ramorum","Viburnum","Europe",88,"Yes"
"P. ramorum","Viburnum","Northern America",15,"Yes"
"P. ramorum","Vinca","Northern America",1,NA
